cmip_var,input_vars,calculation,units,dimensions,frequency,realm,cell_methods,positive,cmor_table,version,vtype,size,nsteps,filename,long_name,standard_name
prsn,fld_s05i215,,kg m-2 s-1,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,TOTAL SNOWFALL RATE: LS+CONV KG/M2/S,snowfall_flux
pr,fld_s05i216,,kg m-2 s-1,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,TOTAL PRECIPITATION RATE  KG/M2/S,precipitation_flux
tslsi,fld_s03i316,,K,time pseudo_level lat lon,3hrPt,land,area: time: point,,CMIP6_3hr,CM2,float32,1880064,578880,cm000a.p8,SURFACE TEMP ON TILES K,surface_temperature
mrsol,fld_s08i223,,kg m-2,time depth lat lon,3hrPt,land,area: time: point,,,CM2,float32,663552,578880,cm000a.p8,SOIL MOISTURE CONTENT IN A LAYER,mass_content_of_water_in_soil_layer
mrros,fld_s08i234,,kg m-2 s-1,time_0 lat lon,3hr,land,area: time: mean,,,CM2,float32,110592,578880,cm000a.p8,SURFACE RUNOFF RATE KG/M2/S,surface_runoff_flux
mrrob,fld_s08i235,,kg m-2 s-1,time_0 lat lon,3hr,land,area: time: mean,,,CM2,float32,110592,578880,cm000a.p8,SUB-SURFACE RUNOFF RATE      KG/M2/S,subsurface_runoff_flux
rss,fld_s01i201,,W m-2,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,NET DOWN SURFACE SW FLUX: SW TS ONLY,surface_net_downward_shortwave_flux
rsds,fld_s01i235,,W m-2,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,TOTAL DOWNWARD SURFACE SW FLUX,surface_downwelling_shortwave_flux_in_air
rls,fld_s02i201,,W m-2,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,NET DOWN SURFACE LW RAD FLUX,surface_net_downward_longwave_flux
clt,fld_s02i204,,1,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,TOTAL CLOUD AMOUNT IN LW RADIATION,cloud_area_fraction
rlut,fld_s02i205,,W m-2,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,OUTGOING LW RAD FLUX (TOA),toa_outgoing_longwave_flux
rlutcs,fld_s02i206,,W m-2,time lat lon,day,atmos,area: time: mean,,,CM2,float32,110592,74772,cm000a.pd,CLEAR-SKY (II) UPWARD LW FLUX (TOA),toa_outgoing_longwave_flux_assuming_clear_sky
rlds,fld_s02i207,,W m-2,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,DOWNWARD LW RAD FLUX: SURFACE,surface_downwelling_longwave_flux_in_air
rldscs,fld_s02i208,,W m-2,time lat lon,day,atmos,area: time: mean,,,CM2,float32,110592,74772,cm000a.pd,CLEAR-SKY (II) DOWN SURFACE LW FLUX,surface_downwelling_longwave_flux_in_air_assuming_clear_sky
uas,fld_s03i209,,m s-1,time lat lon_u,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,10 METRE WIND U-COMP,eastward_wind
vas,fld_s03i210,,m s-1,time lat_v lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,111360,74772,cm000a.pd,10 METRE WIND V-COMP,northward_wind
hfss,fld_s03i217,,W m-2,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,SURFACE SENSIBLE HEAT FLUX     W/M2,surface_upward_sensible_heat_flux
sfcWind,fld_s03i230,,m s-1,time lat lon,day,atmos,area: time: mean,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,10 METRE WIND SPEED ON C GRID,wind_speed
sfcWindmax,fld_s03i230_max,,m s-1,time lat lon,day,atmos,area: time: maximum,,CMIP6_day,CM2,float32,110592,74772,cm000a.pd,10 METRE WIND SPEED ON C GRID,wind_speed
