cmip_var,input_vars,calculation,units,dimensions,frequency,realm,cell_methods,positive,cmor_table,version,vtype,size,nsteps,filename,long_name,standard_name
va19,fld_s00i003 fld_s00i407,"plevinterp(var[0], var[1], 19)",m s-1,time model_rho_level_number lat_0 lon_0,1hrPt,atmos,area: time: point,,AUS2200_A1hrPlev,AUS2200,float32,1544088000,384,umnsa_mdl,V COMPNT OF WIND AFTER TIMESTEP,northward_wind
snw,fld_s00i023,,kg m-2,time lat lon,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,SNOW AMOUNT OVER LAND AFT TSTP KG/M2,surface_snow_amount
zmla,fld_s00i025,,m,time_0 lat lon,1hr,atmos,area: time: mean,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,BOUNDARY LAYER DEPTH AFTER TIMESTEP,atmosphere_boundary_layer_thickness
z0,fld_s00i026,,m,time lat lon,1hrPt,atmos,area: time: point,,,AUS2200,,float32,22048000,384,umnsa_slv,ROUGHNESS LENGTH AFTER TIMESTEP,surface_roughness_length
lmask,fld_s00i030,,1,time_1 lat lon,1hrPt,atmos,area: time: point,,,AUS2200,,float64,44096000,384,umnsa_slv,LAND MASK (No halo) (LAND=TRUE),land_binary_mask
siconca,fld_s00i031,,1,time lat lon,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,FRAC OF SEA ICE IN SEA AFTER TSTEP,sea_ice_area_fraction
orog,fld_s00i033,,m,time_1 lat lon,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,OROGRAPHY (/STRAT LOWER BC),surface_altitude
rss,fld_s01i202,,W m-2,time_0 lat lon,1hr,atmos,area: time: mean,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,NET DOWN SURFACE SW FLUX: CORRECTED,surface_net_downward_shortwave_flux
rlut,fld_s01i205,,W m-2,time_0 lat lon,1hr,atmos,area: time: mean,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,OUTGOING SW RAD FLUX (TOA):CORRECTED,toa_outgoing_shortwave_flux
rsdt,fld_s01i207,,W m-2,time_0 lat lon,1hr,atmos,area: time: mean,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,INCOMING SW RAD FLUX (TOA): ALL TSS,toa_incoming_shortwave_flux
rsdsdiff,fld_s01i216,,W m-2,time_0 lat lon,1hr,atmos,area: time: mean,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,DIFFUSE SURFACE SW FLUX : CORRECTED,
rsds,fld_s01i235,,W m-2,time_0 lat lon,1hr,atmos,area: time: mean,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,TOTAL DOWNWARD SURFACE SW FLUX,surface_downwelling_shortwave_flux_in_air
rls,fld_s02i201,,W m-2,time_0 lat lon,1hr,atmos,area: time: mean,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,NET DOWN SURFACE LW RAD FLUX,surface_net_downward_longwave_flux
rlds,fld_s02i207,,W m-2,time_0 lat lon,1hr,atmos,area: time: mean,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,DOWNWARD LW RAD FLUX: SURFACE,surface_downwelling_longwave_flux_in_air
uas,fld_s03i209,,m s-1,time_0 lat lon_0,1hr,atmos,area: time: mean,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,10 METRE WIND U-COMP,eastward_wind
vas,fld_s03i210,,m s-1,time_0 lat_0 lon,1hr,atmos,area: time: mean,,AUS2200_A1hr,AUS2200,float32,22058400,384,umnsa_slv,10 METRE WIND V-COMP,northward_wind
hfss_Pt,fld_s03i217,,W m-2,time lat lon,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,SURFACE SENSIBLE HEAT FLUX     W/M2,surface_upward_sensible_heat_flux
hfss,fld_s03i217_0,,W m-2,time_0 lat lon,1hr,atmos,area: time: mean,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,SURFACE SENSIBLE HEAT FLUX     W/M2,surface_upward_sensible_heat_flux
evspsbl,fld_s03i223,,kg m-2 s-1,time lat lon,1hrPt,atmos,area: time: point,,,AUS2200,,float32,22048000,384,umnsa_slv,SURFACE TOTAL MOISTURE FLUX  KG/M2/S,water_evaporation_flux
es,fld_s03i229,,kg m-2,time_0 lat lon,1hr,atmos,area: time: mean,,,AUS2200,,float32,22048000,384,umnsa_slv,EVAP FROM SOIL SURF -AMOUNT KG/M2/TS,water_evaporation_flux_from_soil, is es different from evspsblsoi
eow,fld_s03i232,,kg m-2 s-1,time_0 lat lon,1hr,atmos,area: time: mean,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,Evaporation flux from open sea,
hfls_Pt,fld_s03i234,,W m-2,time lat lon,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,SURFACE LATENT HEAT FLUX        W/M2,surface_upward_latent_heat_flux
hfls,fld_s03i234_0,,W m-2,time_0 lat lon,1hr,atmos,area: time: mean,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,SURFACE LATENT HEAT FLUX        W/M2,surface_upward_latent_heat_flux
tasmin,fld_s03i236_min,,K,time_0 lat lon,1hr,atmos,area: time: minimum,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,TEMPERATURE AT 1.5M,air_temperature
tas,fld_s03i236,,K,time_0 lat lon,1hr,atmos,area: time: mean,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,TEMPERATURE AT 1.5M,air_temperature
tasmax,fld_s03i236_max,,K,time_0 lat lon,1hr,atmos,area: time: maximum,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,TEMPERATURE AT 1.5M,air_temperature
huss,fld_s03i237,,1,time_0 lat lon,1hr,atmos,area: time: mean,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,SPECIFIC HUMIDITY  AT 1.5M,specific_humidity
tdps,fld_s03i250,,K,time lat lon,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,DEWPOINT AT 1.5M (K),dew_point_temperature
tauu,fld_s03i460,,Pa,time lat lon_0,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,X-COMP SURFACE BL STRESS,surface_downward_eastward_stress
tauu,fld_s03i460_0,,Pa,time_0 lat lon_0,1hr,atmos,area: time: mean,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,X-COMP SURFACE BL STRESS,surface_downward_eastward_stress
tauv_Pt,fld_s03i461,,Pa,time lat_0 lon,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,22058400,384,umnsa_slv,Y-COMP SURFACE BL STRESS,surface_downward_northward_stress
tauv,fld_s03i461_0,,Pa,time_0 lat_0 lon,1hr,atmos,area: time: mean,,AUS2200_A1hr,AUS2200,float32,22058400,384,umnsa_slv,Y-COMP SURFACE BL STRESS,surface_downward_northward_stress
wsgmax10m,fld_s03i463,,m s-1,time_0 lat lon,1hr,atmos,area: time: maximum,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,WIND GUST,wind_speed_of_gust
cw,fld_s08i209,,kg m-2,time lat lon,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,CANOPY WATER CONTENT,canopy_water_amount
mrsol,fld_s08i223,,kg m-2,time depth lat lon,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,88192000,384,umnsa_slv,SOIL MOISTURE CONTENT IN A LAYER,mass_content_of_water_in_soil_layer
tsl,fld_s08i225,topsoil_tsl(var[0]),K,time depth lat lon,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,DEEP SOIL TEMP. AFTER HYDROLOGY DEGK,soil_temperature
psl,fld_s16i222,,Pa,time_0 lat lon,1hr,atmos,area: time: mean,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,PRESSURE AT MEAN SEA LEVEL,air_pressure_at_sea_level
hus,fld_s00i010,,1,time lat lon,10minPt,atmos,area: time: point,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,SPECIFIC HUMIDITY AFTER TIMESTEP,specific_humidity
ts,fld_s00i024,,K,time lat lon,10minPt,atmos,area: time: point,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,SURFACE TEMPERATURE AFTER TIMESTEP,surface_temperature
zmla,fld_s00i025,,m,time lat lon,10minPt,atmos,area: time: point,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,BOUNDARY LAYER DEPTH AFTER TIMESTEP,atmosphere_boundary_layer_thickness
pfull,fld_s00i408,,Pa,time lat lon,10minPt,atmos,area: time: point,,,AUS2200,float32,22048000,2304,umnsa_spec,PRESSURE AT THETA LEVELS AFTER TS,air_pressure
ps,fld_s00i409,,Pa,time lat lon,10minPt,atmos,area: time: point,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,SURFACE PRESSURE AFTER TIMESTEP,surface_air_pressure
