cmor_var;input_vars;calculation;units;dimensions;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;filename;long_name;standard_name
hfss;fld_s03i217;;W m-2;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;SURFACE SENSIBLE HEAT FLUX     W/M2;surface_upward_sensible_heat_flux
evspsbl;fld_s03i223;;kg m-2 s-1;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;SURFACE TOTAL MOISTURE FLUX  KG/M2/S;water_evaporation_flux
sfcWind;fld_s03i230;;m s-1;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;10 METRE WIND SPEED ON C GRID;wind_speed
eow;fld_s03i232;;kg m-2 s-1;time lat lon;mon;land;area: time: mean;;CM2_mon;CM2;float32;110592;12;cw323a.pm;Evaporation flux from open sea;
hfls;fld_s03i234;;W m-2;time lat lon;mon;atmos;area: time: mean;up;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;SURFACE LATENT HEAT FLUX        W/M2;surface_upward_latent_heat_flux
tas;fld_s03i236;;K;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;TEMPERATURE AT 1.5M;air_temperature
huss;fld_s03i237;;1;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;SPECIFIC HUMIDITY  AT 1.5M;specific_humidity
hurs;fld_s03i245;;%;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;RELATIVE HUMIDITY AT 1.5M;relative_humidity
gpp;fld_s03i261;;kg m-2 s-1;time lat lon;mon;land;area: time: mean;down;CMIP6_Lmon;CM2;float32;110592;12;cw323a.pm;GROSS PRIMARY PRODUCTIVITY KG C/M2/S;gross_primary_productivity_of_biomass_expressed_as_carbon
gpp;fld_s03i261;;kg m-2 s-1;time lat lon;mon;land;area: time: mean;down;CMIP6_Lmon;ESM;float32;110592;12;cw323a.pm;GROSS PRIMARY PRODUCTIVITY KG C/M2/S;gross_primary_productivity_of_biomass_expressed_as_carbon
npp;fld_s03i262;;kg m-2 s-1;time lat lon;mon;land;area: time: mean;down;CMIP6_Lmon;CM2;float32;110592;12;cw323a.pm;NET PRIMARY PRODUCTIVITY KG C/M2/S;net_primary_productivity_of_biomass_expressed_as_carbon
npp;fld_s03i262;;kg m-2 s-1;time lat lon;mon;land;area: time: mean;down;CMIP6_Lmon;ESM;float32;110592;12;cw323a.pm;NET PRIMARY PRODUCTIVITY KG C/M2/S;net_primary_productivity_of_biomass_expressed_as_carbon
ra;fld_s03i263;;kg m-2 s-1;time lat lon;mon;land;area: time: mean;up;CMIP6_Lmon;CM2;float32;110592;12;cw323a.pm;PLANT RESPIRATION KG/M2/S;plant_respiration_carbon_flux
ra;fld_s03i263;;kg m-2 s-1;time lat lon;mon;land;area: time: mean;up;CMIP6_Lmon;ESM;float32;110592;12;cw323a.pm;PLANT RESPIRATION KG/M2/S;plant_respiration_carbon_flux
rh;fld_s03i293;;kg m-2 s-1;time lat lon;mon;land;area: time: mean;up;CMIP6_Lmon;CM2;float32;110592;12;cw323a.pm;SOIL RESPIRATION           KG C/M2/S;soil_respiration_carbon_flux
rh;fld_s03i293;;kg m-2 s-1;time lat lon;mon;land;area: time: mean;up;CMIP6_Lmon;ESM;float32;110592;12;cw323a.pm;SOIL RESPIRATION           KG C/M2/S;soil_respiration_carbon_flux
evspsblsoi;fld_s03i296;;kg m-2 s-1;time lat lon;mon;land;area: time: mean;up;CMIP6_Lmon;CM2;float32;110592;12;cw323a.pm;Evaporation from soil surface;water_evaporation_flux_from_soil
