cmor_var;input_vars;calculation;units;dimensions;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;filename;long_name;standard_name
msftyz;ty_trans ty_trans_gm ty_trans_submeso;calc_overt(var);kg s-1;time st_ocean yu_ocean xu_ocean;mon;ocean;time: mean grid_longitude: mean;;CMIP6_Omon;CM2;float32;21600000;36;ocean_month.nc-;;
obvfsq;bv_freq;var[0]**2;s-2;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;21600000;36;ocean_month.nc-;;
msftmz;ty_trans ty_trans_gm ty_trans_submeso;calc_overt(var);kg s-1;time st_ocean yu_ocean xu_ocean;mon;ocean;longitude: sum depth: sum time: mean;;CMIP6_Omon;CM2;float32;21600000;36;ocean_month.nc-;;
tos;sst;K_degC(var[0]);K;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;;
pbo;pbot_t;var[0]*10000.;dbar;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;;
# Variables without mapping;;;;;;;;;;;;;;;;
hu;hu;;m;yu_ocean xu_ocean;mon;ocean;area: time: point;;;CM2;float32;1440;900;ocean_month.nc-;ocean depth on u-cells;
dxt;dxt;;m;yt_ocean xt_ocean;mon;ocean;area: time: point;;;CM2;float32;1440;900;ocean_month.nc-;ocean dxt on t-cells;
dyt;dyt;;m;yt_ocean xt_ocean;mon;ocean;area: time: point;;;CM2;float32;1440;900;ocean_month.nc-;ocean dyt on t-cells;
dxu;dxu;;m;yu_ocean xu_ocean;mon;ocean;area: time: point;;;CM2;float32;1440;900;ocean_month.nc-;ocean dxu on u-cells;
dyu;dyu;;m;yu_ocean xu_ocean;mon;ocean;area: time: point;;;CM2;float32;1440;900;ocean_month.nc-;ocean dyu on u-cells;
area_t;area_t;;m^2;yt_ocean xt_ocean;mon;ocean;area: time: point;;;CM2;float32;1440;900;ocean_month.nc-;tracer cell area;
area_u;area_u;;m^2;yu_ocean xu_ocean;mon;ocean;area: time: point;;;CM2;float32;1440;900;ocean_month.nc-;velocity cell area;
kmt;kmt;;dimensionless;yt_ocean xt_ocean;mon;ocean;area: time: point;;;CM2;float32;1440;900;ocean_month.nc-;number of depth levels on t-grid;
kmu;kmu;;dimensionless;yu_ocean xu_ocean;mon;ocean;area: time: point;;;CM2;float32;1440;900;ocean_month.nc-;number of depth levels on u-grid;
rho;rho;;kg/m^3;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;in situ density;
tz_trans_sq;tz_trans_sq;;kg/s^2;time sw_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;Square of T-cell k-mass transport (positive upwards);square_of_upward_ocean_mass_transport
tx_trans_rho;tx_trans_rho;;kg/s;time potrho grid_yt_ocean grid_xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;34560000;36;ocean_month.nc-;T-cell i-mass transport on pot_rho;
ty_trans_rho;ty_trans_rho;;kg/s;time potrho grid_yu_ocean grid_xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;34560000;36;ocean_month.nc-;T-cell j-mass transport on pot_rho;
tx_trans_gm;tx_trans_gm;;kg/s;time st_ocean yt_ocean xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;T-cell mass i-transport from GM;
ty_trans_gm;ty_trans_gm;;kg/s;time st_ocean yu_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;T-cell mass j-transport from GM;
tx_trans_rho_gm;tx_trans_rho_gm;;kg/s;time potrho grid_yt_ocean grid_xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;34560000;36;ocean_month.nc-;T-cell i-mass transport from GM on pot_rho;
ty_trans_rho_gm;ty_trans_rho_gm;;kg/s;time potrho grid_yu_ocean grid_xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;34560000;36;ocean_month.nc-;T-cell j-mass transport from GM on pot_rho;
tx_trans_submeso;tx_trans_submeso;;kg/s;time st_ocean yt_ocean xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;T-cell mass i-transport from submesoscale param;
ty_trans_submeso;ty_trans_submeso;;kg/s;time st_ocean yu_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;T-cell mass j-transport from submesoscale param;
tx_trans_int_z;tx_trans_int_z;;kg/s;time yt_ocean xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;T-cell i-mass transport vertically summed;
ty_trans_int_z;ty_trans_int_z;;kg/s;time yu_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;T-cell j-mass transport vertically summed;
temp_xflux_ndiffuse_int_z;temp_xflux_ndiffuse_int_z;;Watt;time yt_ocean xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;z-integral cp*ndiffuse_xflux*dyt*rho_dzt*temp;
temp_yflux_ndiffuse_int_z;temp_yflux_ndiffuse_int_z;;Watt;time yu_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;z-integral cp*ndiffuse_yflux*dxt*rho_dzt*temp;
temp_xflux_sigma;temp_xflux_sigma;;Watt;time yt_ocean xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;vertical sum of cp*sigma_diff_xflux*dyt*rho_dzt*temp;
temp_yflux_sigma;temp_yflux_sigma;;Watt;time yu_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;vertical sum of cp*sigma_diff_yflux*dxt*rho_dzt*temp;
temp_yflux_submeso_int_z;temp_yflux_submeso_int_z;;Watt;time yu_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;z-integral cp*submeso_yflux*dxt*rho_dzt*temp;
temp_xflux_submeso_int_z;temp_xflux_submeso_int_z;;Watt;time yt_ocean xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;z-integral cp*submeso_xflux*dyt*rho_dzt*temp;
temp_merid_flux_advect_global;temp_merid_flux_advect_global;;Watts;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;Global integral(cp*rho*dzt*dxt*v*temp);
temp_merid_flux_over_global;temp_merid_flux_over_global;;Watts;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;overturn contribution to global integral(cp*rho*dzt*dxt*v*temp);
temp_merid_flux_gyre_global;temp_merid_flux_gyre_global;;Watts;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;gyre contribution to global integral(cp*rho*dzt*dxt*v*temp);
salt_merid_flux_advect_global;salt_merid_flux_advect_global;;kg/sec;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;Global integral(rho*dzt*dxt*v*temp);
salt_merid_flux_over_global;salt_merid_flux_over_global;;kg/sec;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;overturn contribution to global integral(rho*dzt*dxt*v*temp);
salt_merid_flux_gyre_global;salt_merid_flux_gyre_global;;kg/sec;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;gyre contribution to global integral(rho*dzt*dxt*v*temp);
temp_merid_flux_advect_southern;temp_merid_flux_advect_southern;;Watts;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;ACC integral(cp*rho*dzt*dxt*v*temp);
temp_merid_flux_over_southern;temp_merid_flux_over_southern;;Watts;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;overturn contribution to ACC integral(cp*rho*dzt*dxt*v*temp);
temp_merid_flux_gyre_southern;temp_merid_flux_gyre_southern;;Watts;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;gyre contribution to ACC integral(cp*rho*dzt*dxt*v*temp);
salt_merid_flux_advect_southern;salt_merid_flux_advect_southern;;kg/sec;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;ACC integral(rho*dzt*dxt*v*temp);
salt_merid_flux_over_southern;salt_merid_flux_over_southern;;kg/sec;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;overturn contribution to ACC integral(rho*dzt*dxt*v*temp);
salt_merid_flux_gyre_southern;salt_merid_flux_gyre_southern;;kg/sec;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;gyre contribution to ACC integral(rho*dzt*dxt*v*temp);
temp_merid_flux_advect_atlantic;temp_merid_flux_advect_atlantic;;Watts;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;Atlantic integral(cp*rho*dzt*dxt*v*temp);
temp_merid_flux_over_atlantic;temp_merid_flux_over_atlantic;;Watts;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;overturn contribution to Atlantic integral(cp*rho*dzt*dxt*v*temp);
temp_merid_flux_gyre_atlantic;temp_merid_flux_gyre_atlantic;;Watts;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;gyre contribution to Atlantic integral(cp*rho*dzt*dxt*v*temp);
salt_merid_flux_advect_atlantic;salt_merid_flux_advect_atlantic;;kg/sec;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;Atlantic integral(rho*dzt*dxt*v*temp);
salt_merid_flux_over_atlantic;salt_merid_flux_over_atlantic;;kg/sec;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;overturn contribution to Atlantic integral(rho*dzt*dxt*v*temp);
salt_merid_flux_gyre_atlantic;salt_merid_flux_gyre_atlantic;;kg/sec;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;gyre contribution to Atlantic integral(rho*dzt*dxt*v*temp);
temp_merid_flux_advect_pacific;temp_merid_flux_advect_pacific;;Watts;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;Pacific integral(cp*rho*dzt*dxt*v*temp);
temp_merid_flux_over_pacific;temp_merid_flux_over_pacific;;Watts;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;overturn contribution to Pacific integral(cp*rho*dzt*dxt*v*temp);
temp_merid_flux_gyre_pacific;temp_merid_flux_gyre_pacific;;Watts;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;gyre contribution to Pacific integral(cp*rho*dzt*dxt*v*temp);
salt_merid_flux_advect_pacific;salt_merid_flux_advect_pacific;;kg/sec;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;Pacific integral(rho*dzt*dxt*v*temp);
salt_merid_flux_over_pacific;salt_merid_flux_over_pacific;;kg/sec;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;overturn contribution to Pacific integral(rho*dzt*dxt*v*temp);
salt_merid_flux_gyre_pacific;salt_merid_flux_gyre_pacific;;kg/sec;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;gyre contribution to Pacific integral(rho*dzt*dxt*v*temp);
temp_merid_flux_advect_arctic;temp_merid_flux_advect_arctic;;Watts;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;Arctic integral(cp*rho*dzt*dxt*v*temp);
temp_merid_flux_over_arctic;temp_merid_flux_over_arctic;;Watts;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;overturn contribution to Arctic integral(cp*rho*dzt*dxt*v*temp);
temp_merid_flux_gyre_arctic;temp_merid_flux_gyre_arctic;;Watts;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;gyre contribution to Arctic integral(cp*rho*dzt*dxt*v*temp);
salt_merid_flux_advect_arctic;salt_merid_flux_advect_arctic;;kg/sec;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;Arctic integral(rho*dzt*dxt*v*temp);
salt_merid_flux_over_arctic;salt_merid_flux_over_arctic;;kg/sec;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;overturn contribution to Arctic integral(rho*dzt*dxt*v*temp);
salt_merid_flux_gyre_arctic;salt_merid_flux_gyre_arctic;;kg/sec;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;gyre contribution to Arctic integral(rho*dzt*dxt*v*temp);
temp_merid_flux_advect_indian;temp_merid_flux_advect_indian;;Watts;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;Indian integral(cp*rho*dzt*dxt*v*temp);
temp_merid_flux_over_indian;temp_merid_flux_over_indian;;Watts;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;overturn contribution to Indian integral(cp*rho*dzt*dxt*v*temp);
temp_merid_flux_gyre_indian;temp_merid_flux_gyre_indian;;Watts;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;gyre contribution to Indian integral(cp*rho*dzt*dxt*v*temp);
salt_merid_flux_advect_indian;salt_merid_flux_advect_indian;;kg/sec;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;Indian integral(rho*dzt*dxt*v*temp);
salt_merid_flux_over_indian;salt_merid_flux_over_indian;;kg/sec;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;overturn contribution to Indian integral(rho*dzt*dxt*v*temp);
salt_merid_flux_gyre_indian;salt_merid_flux_gyre_indian;;kg/sec;time yu_ocean;mon;ocean;area: time: mean;;;CM2;float32;1200;36;ocean_month.nc-;gyre contribution to Indian integral(rho*dzt*dxt*v*temp);
sfc_hflux_from_calving;sfc_hflux_from_calving;;Watts/m^2;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;heat flux (relative to 0C) from solid land ice entering ocean;temperature_flux_due_to_icebergs_expressed_as_heat_flux_into_sea_water
pme;pme;;m/sec;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;net (precip-evap)(kg/(m2*sec) into ocean, divided by 1035kg/m3;
pme_mass;pme_mass;;(kg/m^3)*(m/sec);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;precip-evap via sbc (liquid, frozen, evaporation);
river;river;;(kg/m^3)*(m/sec);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;mass flux of river (runoff + calving) entering ocean;
swflx_vis;swflx_vis;;W/m^2;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;visible shortwave into ocean (>0 heats ocean);
sw_frac;sw_frac;;dimensionless;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;fraction of shortwave penetrating;
f_vis;f_vis;;dimensionless;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;Fraction of incoming shortwave in the visible range;
sfc_hflux_coupler;sfc_hflux_coupler;;Watts/m^2;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;surface heat flux coming through coupler;
sfc_hflux_pme;sfc_hflux_pme;;Watts/m^2;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;heat flux (relative to 0C) from pme transfer of water across ocean surface;
tau_curl;tau_curl;;N/m^3;time yu_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;wind stress curl averaged to U-point;
ekman_we;ekman_we;;m/s;time yu_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;Ekman vertical velocity averaged to wt-point;
salt_calvingmix;salt_calvingmix;;kg/(sec*m^2);time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;calvingmix*rho_dzt*tracer for salt;
temp_calvingmix;temp_calvingmix;;Watt/m^2;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;cp*calvingmix*rho_dzt*temp;
temp_runoffmix;temp_runoffmix;;Watt/m^2;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;cp*runoffmix*rho_dzt*temp;
temp_rivermix;temp_rivermix;;Watt/m^2;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;cp*rivermix*rho_dzt*temp;
temp_runoff;temp_runoff;;degC;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;temperature of liquid river runoff entering the ocean;
temp_calving;temp_calving;;degC;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;temperature of land ice calving into ocean;
pme_correct;pme_correct;;(kg/m^3)*(m/sec);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;precip-evap from flux correction (>0 enters ocean);
pme_net;pme_net;;(kg/m^3)*(m/sec);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;precip-evap into ocean (total w/ restore + normalize);
wfimelt;wfimelt;;(kg/m^3)*(m/sec);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;water into ocean due to ice melt (>0 enters ocean);icemelt_flux
wfiform;wfiform;;(kg/m^3)*(m/sec);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;water out of ocean due to ice form (>0 enters ocean);iceform_flux
pbot0;pbot0;;dbar;yt_ocean xt_ocean;mon;ocean;area: time: point;;;CM2;float32;1440;900;ocean_month.nc-;reference bottom pressure t-cells;
anompb;anompb;;dbar;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;T-cell bottom pressure - rho0*grav*ht;
eta_t;eta_t;;meter;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;surface height on T cells [Boussinesq (volume conserving) model];
eta_u;eta_u;;meter;time yu_ocean xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;surface height on U cells;
rhobarz;rhobarz;;kg/m^3;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;vertically averaged in-situ density;
conv_rho_ud_t;conv_rho_ud_t;;(kg/m^3)*(m/s);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;convergence rho*ud on T cells;
urhod;urhod;;(kg/m^3)*m^2/s;time yu_ocean xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;depth and density weighted u;
vrhod;vrhod;;(kg/m^3)*m^2/s;time yu_ocean xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;depth and density weighted v;
u_surf;u_surf;;m/sec;time yu_ocean xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;i-surface current;
v_surf;v_surf;;m/sec;time yu_ocean xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;j-surface current;
u_bott;u_bott;;m/sec;time yu_ocean xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;i-bottom current;
v_bott;v_bott;;m/sec;time yu_ocean xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;j-bottom current;
bottom_temp;bottom_temp;;deg_C;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;Conservative temperature;
bottom_age_global;bottom_age_global;;yr;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;Age (global);
salt_xflux_adv;salt_xflux_adv;;kg/sec;time st_ocean yt_ocean xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;rho*dzt*dyt*u*tracer;
salt_yflux_adv;salt_yflux_adv;;kg/sec;time st_ocean yu_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;rho*dzt*dxt*v*tracer;
salt_zflux_adv;salt_zflux_adv;;kg/sec;time sw_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;rho*dxt*dyt*wt*tracer;
temp_vdiffuse_impl;temp_vdiffuse_impl;;Watts/m^2;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;implicit vert diffusion of heat;
salt_vdiffuse_impl;salt_vdiffuse_impl;;kg/(sec*m^2);time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;implicit vert diffusion of Practical Salinity;
temp_tendency_expl;temp_tendency_expl;;Watts/m^2;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;explicit in time tendency for tracer Conservative temperature;
salt_tendency_expl;salt_tendency_expl;;kg/(sec*m^2);time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;explicit in time tendency for tracer Practical Salinity;
temp_xflux_submeso;temp_xflux_submeso;;Watt;time st_ocean yt_ocean xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;cp*submeso_xflux*dyt*rho_dzt*temp;
temp_yflux_submeso;temp_yflux_submeso;;Watt;time st_ocean yu_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;cp*submeso_yflux*dxt*rho_dzt*temp;
temp_zflux_submeso;temp_zflux_submeso;;Watt;time sw_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;cp*submeso_zflux*dxt*dyt*rho*temp;
temp_xflux_gm;temp_xflux_gm;;Watt;time st_ocean yt_ocean xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;cp*gm_xflux*dyt*rho_dzt*temp;
temp_yflux_gm;temp_yflux_gm;;Watt;time st_ocean yu_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;cp*gm_yflux*dxt*rho_dzt*temp;
temp_zflux_gm;temp_zflux_gm;;Watt;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;cp*gm_zflux*dxt*dyt*rho*temp;
temp_rhodzt;temp_rhodzt;;deg_C*(kg/m^3)*m;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;Conservative temperature * rho_dzt;
salt_xflux_submeso;salt_xflux_submeso;;kg/sec;time st_ocean yt_ocean xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;submeso_xflux*dyt*rho_dzt*tracer forsalt;
salt_yflux_submeso;salt_yflux_submeso;;kg/sec;time st_ocean yu_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;submeso_yflux*dxt*rho_dzt*tracer forsalt;
salt_zflux_submeso;salt_zflux_submeso;;kg/sec;time sw_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;submeso_yflux*dxt*dyt*rho*tracer forsalt;
salt_xflux_gm;salt_xflux_gm;;kg/sec;time st_ocean yt_ocean xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;gm_xflux*dyt*rho_dzt*tracer forsalt;
salt_yflux_gm;salt_yflux_gm;;kg/sec;time st_ocean yu_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;gm_yflux*dxt*rho_dzt*tracer forsalt;
salt_zflux_gm;salt_zflux_gm;;kg/sec;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;gm_zflux*dxt*dyt*rho*tracer forsalt;
salt_rhodzt;salt_rhodzt;;psu*(kg/m^3)*m;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;Practical Salinity * rho_dzt;
temp_xflux_ndiffuse;temp_xflux_ndiffuse;;Watt;time st_ocean yt_ocean xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;cp*ndiffuse_xflux*dyt*rho_dzt*temp;
temp_yflux_ndiffuse;temp_yflux_ndiffuse;;Watt;time st_ocean yu_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;cp*ndiffuse_yflux*dxt*rho_dzt*temp;
temp_zflux_ndiffuse;temp_zflux_ndiffuse;;Watt;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;cp*ndiffuse_zflux*dxt*dyt*rho*temp;
salt_xflux_ndiffuse;salt_xflux_ndiffuse;;kg/sec;time st_ocean yt_ocean xu_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;ndiffuse_xflux*dyt*rho_dzt*tracer forsalt;
salt_yflux_ndiffuse;salt_yflux_ndiffuse;;kg/sec;time st_ocean yu_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;ndiffuse_yflux*dxt*rho_dzt*tracer forsalt;
salt_zflux_ndiffuse;salt_zflux_ndiffuse;;kg/sec;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;ndiffuse_zflux*dxt*dyt*rho*tracer forsalt;
neutral_rho;neutral_rho;;kg/m^3;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;potential density estimate of neutral density;
pot_rho_2;pot_rho_2;;kg/m^3;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;potential density referenced to 2000 dbar;
potrho_mix_base;potrho_mix_base;;kg/m^3;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;Potential density at mixed layer base;
potrho_mix_depth;potrho_mix_depth;;m;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;Depth of potential density mixed layer;
press;press;;dbar;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;absolute pressure;
