cmor_var;input_vars;calculation;units;dimensions;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;filename;long_name;standard_name
sfc_salt_flux_coupler;sfc_salt_flux_coupler;;kg/(m^2*sec);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;sfc_salt_flux_coupler: flux from the coupler;
sfc_salt_flux_pme;sfc_salt_flux_pme;;kg/(m^2*sec);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;sfc_salt_flux_pme;
sfc_salt_flux_prec;sfc_salt_flux_prec;;kg/(m^2*sec);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;sfc_salt_flux_prec;
sfc_salt_flux_evap;sfc_salt_flux_evap;;kg/(m^2*sec);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;sfc_salt_flux_evap;
temp_sweby_advec;temp_sweby_advec;;Watts/m^2;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;cp*rho*dzt*sweby advect tendency;
temp_nonlocal_KPP;temp_nonlocal_KPP;;Watts/m^2;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;cp*rho*dzt*nonlocal tendency from KPP;
temp_eta_smooth;temp_eta_smooth;;Watts/m^2;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;surface smoother for temp;
temp_vdiffuse_diff_cbt_conv;temp_vdiffuse_diff_cbt_conv;;Watts/m^2;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;vert diffusion of heat due to diff_cbt_conv;
temp_vdiffuse_k33;temp_vdiffuse_k33;;Watts/m^2;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;vert diffusion of heat due to K33 from neutral diffusion;
temp_vdiffuse_sbc;temp_vdiffuse_sbc;;Watts/m^2;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;vert diffusion of heat due to surface flux;
temp_sigma_diff;temp_sigma_diff;;Watts/m^2;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;thk wghtd sigma-diffusion heating;
salt_sweby_advec;salt_sweby_advec;;kg/(sec*m^2);time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;rho*dzt*sweby advect tendency;
